station_code,date_installed,date_removed,vadase,manufacturer,model,antenna_manufacturer,antenna_model,radome_type,antenna_location,num_channels,power_source,has_internet,has_lightning_rod,housing_notes
ABUY,,,false,,,Trimble Inc.,TRM41249.00,NONE,Rooftop,,,false,false,within the same building / The floor below the rooftop of a 2 storey building
ADMA,,,false,Allis Communications,MG700,Allis Communications,W540C,NONE,Rooftop,11,AC to DC power adapter,false,false,within the same building / The floor below the rooftop of a 2 storey building
AGUS,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
ALAB,,,false,Trimble Inc.,Trimble NetR9,Trimble Inc.,TRM57971.00,NONE,Rooftop,440,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
ALBU,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,AC to DC power adapter,false,false,within the same building / The floor below the rooftop of a 2 storey building
ALCA,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
ALCO,,,true,Leica Geosystems AG,Leica GR50,Leica Geosystems AG,Leica AR20,LEIM,Rooftop,555,Solar,true,true,within the same building / The floor below the rooftop of a 2 storey building
ANTP,,,false,,,Leica Geosystems AG,LEIAT504,NONE,Rooftop,,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
AROY,,,false,Trimble Inc.,Trimble NetR8,Trimble Inc.,TRM57971.00,NONE,Rooftop,24,AC to DC power adapter,false,false,within the same building / The floor below the rooftop of a 2 storey building
ATIM,,,false,Leica Geosystems AG,GRX1200GG,Leica Geosystems AG,AT504GG,NONE,Rooftop,72,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
AURA,,,false,Leica Geosystems AG,GRX1200 Pro,Trimble Inc.,TRM41249.00,NONE,Rooftop,12,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
BACO,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
BALA,,,false,Leica Geosystems AG,GRX1200GG Pro,Trimble Inc.,TRM57971.00,NONE,Rooftop,72,battery backup system,false,false,in a nearby building / The floor below the rooftop of the adjacent building
BALU,,,false,,,,,,Rooftop,,,false,false,within the same building / The floor below the rooftop of a multi-storey building
BASC,,,false,Trimble Inc.,Trimble Alloy,Trimble Inc.,TRM11500.00,NONE,Rooftop,672,AC to DC power adapter,true,false,within the same building / The floor below the rooftop of a 2 storey building
BATO,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,AC to DC power adapter,false,false,within the same building / The floor below the rooftop of a 2 storey building
BATU,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
BAYA,,,false,Allis Communications,MG700,Allis Communications,W540C,NONE,Rooftop,11,AC to DC power adapter,false,false,within the same building / The floor below the rooftop of a 3 storey building
BILI,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
BLNA,,,false,Leica Geosystems AG,GRX1200 GNSS,Trimble Inc.,TRM57971.00,NONE,On the ground,12,Solar,false,false,within the same compound / Same floor as the pillar
BMJR,,,false,Allis Communications,MG700,Allis Communications,W540C,NONE,Rooftop,11,AC to DC power adapter,false,false,within the same building / The floor below the rooftop of a 2 storey building
BOAC,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM41249.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 3 storey building
BOST,,,true,Leica Geosystems AG,Leica GR50,Leica Geosystems AG,Leica AR20,LEIM,Rooftop,555,Solar,true,false,within the same building / The floor below the rooftop of a 2 storey building
BRGC,,,false,Trimble Inc.,Trimble NetR9,Trimble Inc.,TRM57971.00,NONE,Rooftop,440,battery backup system,false,false,in a nearby building / The floor below the adjacent structure
BSLN,,,true,Leica Geosystems AG,Leica GR50,Leica Geosystems AG,Leica AR20,LEIM,Rooftop,555,Solar,true,false,within the same building / The floor below the rooftop of a multi-storey building
BTU2,,,true,Leica Geosystems AG,Leica GR50,Leica Geosystems AG,Leica AR20,LEIM,Rooftop,555,Solar,true,true,within the same building / The floor below the rooftop of a 2 storey building
BUG2,,,true,Leica Geosystems AG,Leica GR50,Leica Geosystems AG,Leica AR20,LEIM,Rooftop,555,Solar,true,true,within the same building / The floor below the rooftop of a multi-storey building
BULA,,,false,Trimble Inc.,Trimble 5700,Trimble Inc.,TRM57971.00,NONE,Rooftop,24,battery backup system,false,false,within the same building / The floor below the rooftop of a 2 storey building
