sheet,group,site,year,doy_range,fill_rgb,colour_meaning,colour_exact,site_fill_rgb,site_colour_meaning,status,time_series,year_processed,staff,remarks
Continuous,NCKU LEYTE,ABUY,2017,271---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,2013-2026,RAEN,
Continuous,NCKU LEYTE,ABUY,2018,"1-37, 141-365",,,,FFFF0000,Old site/pulled out/decommissioned,,,2013-2026,RAEN,
Continuous,NCKU LEYTE,ABUY,2019,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,2013-2026,RAEN,
Continuous,NCKU LEYTE,ABUY,2020,"1-200, 251, 263",,,,FFFF0000,Old site/pulled out/decommissioned,,,2013-2026,RAEN,
Continuous,NCKU LEYTE,ABUY,2021,200---271,,,,FFFF0000,Old site/pulled out/decommissioned,,,2013-2026,RAEN,
Continuous,NCKU LEYTE,ALBU,2014,148---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2015,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2016,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2017,"1-83, 115-330",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2018,142---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2019,"1-83, 219-220",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2021,328---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2022,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2023,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2024,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2025,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,ALBU,2026,1---34,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BATO,2017,269---365,,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BATO,2018,"1-37,142-365",,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BATO,2019,1---365,,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BATO,2020,1---251,,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BATO,2021,328---350,,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BATO,2022,27---365,,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BATO,2023,1---245,,,,FFFF9900,Not operational,,,,,
Continuous,NCKU LEYTE,BAYB,2014,147---365,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,False
Continuous,NCKU LEYTE,BAYB,2015,1---47,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,False
Continuous,NCKU LEYTE,BILI,2017,268---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2018,"1-92, 344-365",,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2019,1---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2020,"1---208, 256",,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2021,326---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2022,1---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2023,"1-47, 121-122, 131, 177-365",,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2024,1---211,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2025,35---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BILI,2026,1---33,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU LEYTE,BYBY,2017,269.0,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BYBY,2018,142---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BYBY,2019,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BYBY,2020,1---77,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BYBY,2024,16---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BYBY,2025,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,BYBY,2026,1---34,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,CALU,2018,143---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,CALU,2019,"1-58, 137-365",,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,CALU,2020,1---285,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,CALU,2021,328---350,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,HINU,2017,270---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2018,"1-37, 141-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2019,1---358,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2021,327---350,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2022,"24-119, 284-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2023,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2024,1---204,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2025,"29-307, 309-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,HINU,2026,1---35,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,INOP,2018,142---363,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2019,219---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2020,1---366,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2021,1---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2022,1---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2023,1---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2024,1---204,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,ISAB,2014,149---196,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2015,48---365,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2016,"1-213, 346-366",,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2017,1---239,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2019,208---220,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
