# Bernese CRD site-code index -- an IDENTIFICATION index, not a
# coordinate product. Frames and epochs are NOT harmonised; rows
# derived from CODSPP are metre-level. See build_crd_catalog.py.
site,domes,x,y,z,lat,lon,height,n_files,spread_m,ambiguous,n_clusters,cluster_extent_m,frames,epoch_min,epoch_max,best_kind,nearest_other_site,nearest_other_m
0194,21752S001,-3766966.2179,3211876.6769,4008334.0458,39.1855595,139.5476697,45.271,2,0.00,,1,,ITRF2014_0,2010-01-01,2010-01-01,REFERENCE,P105,69075.2
02G1,,-3000767.2621,5045526.5161,2488496.2981,23.1108490,120.7415654,1226.827,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,02L1,171.2
02G2,,-3000659.8851,5045645.5760,2488319.8321,23.1092156,120.7400706,1201.201,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,02G3,160.1
02G3,,-3000706.3997,5045738.0779,2488197.6817,23.1078354,120.7399994,1248.254,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,02G2,160.1
02L1,,-3000674.0359,5045459.9707,2488623.5772,23.1122774,120.7411153,1180.353,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,02G1,171.2
0498,,-3355140.1021,4725716.8882,2654318.2493,24.7531236,125.3737935,127.036,58,0.02,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,0747,22121.5
0499,,-3159135.2644,4875282.8733,2624177.3623,24.4541742,122.9428399,47.337,58,0.02,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,0500,86165.5
0500,,-3231750.8193,4828984.3550,2621361.5059,24.4262777,123.7920319,40.624,58,0.03,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,0750,39807.7
05G1,,-3003046.7056,5062060.3459,2450534.1127,22.7410870,120.6783647,603.433,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05L3,238.2
05G2,,-3002238.8838,5062886.8766,2450671.8714,22.7411913,120.6674968,932.252,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05L1,418.1
05G3,,-3001948.7828,5063209.4559,2449689.0731,22.7325552,120.6634664,671.848,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G7,267.8
05G4,,-3002503.7273,5062686.1999,2450007.6007,22.7357906,120.6707106,640.894,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G5,284.5
05G5,,-3002601.7827,5062634.6462,2449745.5139,22.7335882,120.6717876,544.843,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G4,284.5
05G6,,-3002154.2059,5062938.5626,2450121.4027,22.7366030,120.6665312,720.648,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05L4,250.7
05G7,,-3001841.3880,5063279.9336,2449924.1055,22.7344921,120.6622173,768.074,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G3,267.8
05L1,,-3002400.3042,5062766.4564,2450305.4567,22.7382142,120.6694462,771.026,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G4,325.4
05L2,,-3002320.0538,5062836.3129,2449629.3454,22.7325170,120.6684275,527.389,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05L4,280.2
05L3,,-3003038.2463,5062134.2171,2450307.7806,22.7389956,120.6779269,570.558,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G1,238.2
05L4,,-3002212.7529,5062889.0786,2449882.7500,22.7346599,120.6672671,616.698,1,0.00,,1,,ITRF2005,2000-01-01,2000-01-01,REFERENCE,05G6,250.7
0747,,-3336346.5542,4734662.8376,2661810.5084,24.8279618,125.1709756,46.618,58,0.03,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,0498,22121.5
0748,,-3301599.7965,4769460.8619,2643061.3334,24.6416191,124.6924358,42.334,58,0.01,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,0749,41288.9
0749,,-3271689.8859,4795887.1329,2632486.7044,24.5366292,124.3012840,42.886,58,0.03,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,ISHI,18427.0
0750,,-3266005.7081,4810720.6146,2612547.1231,24.3388823,124.1726439,46.756,58,0.02,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,7307,5400.7
0751,,-3241311.1111,4842573.0056,2584530.7431,24.0615058,123.7958415,62.451,58,0.02,,1,,WGS-84,1999-03-04,1999-03-15,OTHER,0500,40404.9
1181,14106S001,3800621.0195,882005.5846,5028859.6697,52.3802636,13.0652920,147.849,2,0.00,,1,,ITRF2008,2005-01-01,2005-01-01,REFERENCE,7836,40.9
1824,12356S001,3512989.2259,2068968.8914,4888817.3789,50.3631311,30.4958841,211.779,2,0.00,,1,,ITRF2008,2005-01-01,2005-01-01,REFERENCE,GLSV,132.9
1831,12368S001,3760674.7356,1670776.4304,4857165.4378,49.9175705,23.9544153,359.219,2,0.00,,1,,ITRF2008,2005-01-01,2005-01-01,REFERENCE,SULP,10089.8
