# Built 2026-09-23 on gps3, together with the file beside it, by ONE command:
#   scripts/build_crd_catalog.py --root /srv/gnss-archive --root $P \
#       --rinex <listing of every RINEX path in the archive, 480,178 lines> \
#       -o docs/bern52/crd_catalog.csv --clusters-out docs/bern52/crd_clusters.csv
# Both files must come from the same invocation: --rinex adds sites that only
# RINEX headers cover, so a run without it yields fewer sites in both.
# One row per distinct MONUMENT, not per site code. A code
# naming two physical marks appears twice. Judge a real
# collision by cluster SIZE and RATIO -- see _cluster_row().
site,cluster,of_clusters,n_rows,n_files,x,y,z,lat,lon,height,spread_m,best_kind,frames
0194,1,1,2,2,-3766966.2179,3211876.6769,4008334.0458,39.1855595,139.5476697,45.271,0.00,REFERENCE,ITRF2014_0
02G1,1,1,1,1,-3000767.2621,5045526.5161,2488496.2981,23.1108490,120.7415654,1226.827,0.00,REFERENCE,ITRF2005
02G2,1,1,1,1,-3000659.8851,5045645.5760,2488319.8321,23.1092156,120.7400706,1201.201,0.00,REFERENCE,ITRF2005
02G3,1,1,1,1,-3000706.3997,5045738.0779,2488197.6817,23.1078354,120.7399994,1248.254,0.00,REFERENCE,ITRF2005
02L1,1,1,1,1,-3000674.0359,5045459.9707,2488623.5772,23.1122774,120.7411153,1180.353,0.00,REFERENCE,ITRF2005
0498,1,1,58,58,-3355140.1021,4725716.8882,2654318.2493,24.7531236,125.3737935,127.036,0.02,OTHER,WGS-84
0499,1,1,58,58,-3159135.2644,4875282.8733,2624177.3623,24.4541742,122.9428399,47.337,0.02,OTHER,WGS-84
0500,1,1,58,58,-3231750.8193,4828984.3550,2621361.5059,24.4262777,123.7920319,40.624,0.03,OTHER,WGS-84
0597,1,3,4,4,-3264624.5178,5261650.5087,1524172.8747,13.9178060,121.8177962,67.971,2.17,RNXHDR,
0597,2,3,4,4,-3282152.3836,5270580.9448,1454506.5461,13.2699868,121.9117880,59.840,3.57,RNXHDR,
0597,3,3,4,4,-3234352.8887,5256346.9241,1604298.0984,14.6651448,121.6049553,55.515,3.56,RNXHDR,
05G1,1,1,1,1,-3003046.7056,5062060.3459,2450534.1127,22.7410870,120.6783647,603.433,0.00,REFERENCE,ITRF2005
05G2,1,1,1,1,-3002238.8838,5062886.8766,2450671.8714,22.7411913,120.6674968,932.252,0.00,REFERENCE,ITRF2005
05G3,1,1,1,1,-3001948.7828,5063209.4559,2449689.0731,22.7325552,120.6634664,671.848,0.00,REFERENCE,ITRF2005
05G4,1,1,1,1,-3002503.7273,5062686.1999,2450007.6007,22.7357906,120.6707106,640.894,0.00,REFERENCE,ITRF2005
05G5,1,1,1,1,-3002601.7827,5062634.6462,2449745.5139,22.7335882,120.6717876,544.843,0.00,REFERENCE,ITRF2005
05G6,1,1,1,1,-3002154.2059,5062938.5626,2450121.4027,22.7366030,120.6665312,720.648,0.00,REFERENCE,ITRF2005
05G7,1,1,1,1,-3001841.3880,5063279.9336,2449924.1055,22.7344921,120.6622173,768.074,0.00,REFERENCE,ITRF2005
05L1,1,1,1,1,-3002400.3042,5062766.4564,2450305.4567,22.7382142,120.6694462,771.026,0.00,REFERENCE,ITRF2005
05L2,1,1,1,1,-3002320.0538,5062836.3129,2449629.3454,22.7325170,120.6684275,527.389,0.00,REFERENCE,ITRF2005
05L3,1,1,1,1,-3003038.2463,5062134.2171,2450307.7806,22.7389956,120.6779269,570.558,0.00,REFERENCE,ITRF2005
05L4,1,1,1,1,-3002212.7529,5062889.0786,2449882.7500,22.7346599,120.6672671,616.698,0.00,REFERENCE,ITRF2005
0747,1,1,58,58,-3336346.5542,4734662.8376,2661810.5084,24.8279618,125.1709756,46.618,0.03,OTHER,WGS-84
0748,1,1,58,58,-3301599.7965,4769460.8619,2643061.3334,24.6416191,124.6924358,42.334,0.01,OTHER,WGS-84
0749,1,1,58,58,-3271689.8859,4795887.1329,2632486.7044,24.5366292,124.3012840,42.886,0.03,OTHER,WGS-84
0750,1,1,58,58,-3266005.7081,4810720.6146,2612547.1231,24.3388823,124.1726439,46.756,0.02,OTHER,WGS-84
0751,1,1,58,58,-3241311.1111,4842573.0056,2584530.7431,24.0615058,123.7958415,62.451,0.02,OTHER,WGS-84
0777,1,1,2,2,-3767583.4337,5084323.4123,795226.1750,7.2103269,126.5391717,81.878,0.23,RNXHDR,
1181,1,1,2,2,3800621.0195,882005.5846,5028859.6697,52.3802636,13.0652920,147.849,0.00,REFERENCE,ITRF2008
1824,1,1,2,2,3512989.2259,2068968.8914,4888817.3789,50.3631311,30.4958841,211.779,0.00,REFERENCE,ITRF2008
1831,1,1,2,2,3760674.7356,1670776.4304,4857165.4378,49.9175705,23.9544153,359.219,0.00,REFERENCE,ITRF2008
1863,1,1,2,2,1953262.4650,4588920.3495,3966841.1290,38.6857394,66.9430922,2713.959,0.00,REFERENCE,ITRF2008
