site,year,sheet,remarks
AB14,2009,Campaign,
AB14,2011,Campaign,
ADMI,1997,Campaign,
ADMI,1999,Campaign,
ADMI,2009,Campaign,
ADMI,2011,Campaign,
ALAB,2013,Continuous,
ANGT,2013,Continuous,
ANQ0,2008,Campaign,
ANQ0,2009,Campaign,
ANQ0,2011,Campaign,
ANQ0,2012,Campaign,
ANQ0,2013,Campaign,
ANTP,2013,Continuous,
APAR,2013,Continuous,
AR17,2008,Campaign,
AR17,2009,Campaign,
AR17,2011,Campaign,
AR17,2012,Campaign,
AR17,2013,Campaign,
AR30,2008,Campaign,
AR30,2009,Campaign,
AR30,2011,Campaign,
AR30,2012,Campaign,
AR30,2013,Campaign,
ATIM,2013,Continuous,
AURA,2012,Continuous,
AURA,2013,Continuous,
BACO,2012,Continuous,
BACO,2013,Continuous,
BAGU,2012,Continuous,
BAGU,2013,Continuous,
BALA,2013,Continuous,
BANI,2013,Campaign,
BARA,2008,Campaign,
BARA,2009,Campaign,
BARA,2011,Campaign,
BARA,2012,Campaign,
BARA,2013,Campaign,
BASC,2012,Continuous,
BGB1,2000,Campaign,
BGB1,2004,Campaign,
BGB1,2008,Campaign,
BGB1,2009,Campaign,
BGB1,2011,Campaign,
BGB1,2013,Campaign,
BLN2,2012,Continuous,
BNBA,2008,Campaign,
BNBA,2009,Campaign,
BNBA,2011,Campaign,
BNBA,2012,Campaign,
BNBA,2013,Campaign,
BONG,2012,Campaign,
BONT,2012,Continuous,
BONT,2013,Continuous,
BR14,2009,Campaign,
BR14,2011,Campaign,
BR14,2012,Campaign,
BR14,2013,Campaign,
BRGC,2012,Continuous,To convert
BSCS,2009,Campaign,
BSCS,2011,Campaign,
BSCS,2013,Campaign,
BTUN,2013,Continuous,
BUCA,2006,Campaign,
BUCA,2008,Campaign,
BUCA,2010,Campaign,
BUCA,2011,Campaign,
BUCA,2012,Campaign,
BUCA,2013,Campaign,
BUGS,2013,Continuous,
BULA,2010,Continuous,
BULA,2012,Continuous,
BULA,2013,Continuous,
BURG,2006,Campaign,
BURG,2008,Campaign,
BURG,2010,Campaign,
BURG,2011,Campaign,
BURG,2012,Campaign,
BURG,2013,Campaign,
CABN,2019,Continuous,
CACA,2013,Continuous,
CALC,2013,Continuous,
CALI,2010,Campaign,
CALI,2011,Campaign,
CALI,2012,Campaign,
CATA,2012,Continuous,To convert
CATA,2013,Continuous,To convert
CATM,2008,Campaign,
CATM,2010,Campaign,
CATM,2011,Campaign,
CCA5,1998,Campaign,
CCA5,2012,Campaign,
CCA5,2013,Campaign,
CEB1,2009,Campaign,
CEB1,2011,Campaign,
CEB1,2012,Campaign,
CEBA,1999,Campaign,
CEBA,2001,Campaign,
CEBA,2009,Campaign,
CEBA,2011,Campaign,
CEBA,2012,Campaign,
CEBB,1997,Campaign,
CEBB,1999,Campaign,
CEBB,2001,Campaign,
CEBC,2009,Campaign,
CEBC,2011,Campaign,
CEBC,2012,Campaign,
CEBD,2009,Campaign,Converting
CEBD,2011,Campaign,Converting
CEBD,2012,Campaign,Converting
CEBM,2015,Campaign,
CLAV,2012,Continuous,
CMGN,2013,Continuous,
CMN2,1998,Campaign,
CMN2,1999,Campaign,
CMN2,2000,Campaign,
CMN2,2004,Campaign,
CMN2,2006,Campaign,
CMN2,2008,Campaign,
CMN2,2010,Campaign,
CMN2,2013,Campaign,
CMS2,1998,Campaign,
CMS2,1999,Campaign,
CMS2,2000,Campaign,
CMS2,2004,Campaign,
CMS2,2006,Campaign,
CMS2,2010,Campaign,
CMS2,2011,Campaign,
CMS2,2013,Campaign,
COTA,2009,Campaign,
COTA,2010,Campaign,
COTA,2012,Campaign,
COTA,2013,Campaign,
COTB,2009,Campaign,
COTB,2010,Campaign,
COTB,2012,Campaign,
COTB,2013,Campaign,
COTC,2009,Campaign,
COTC,2010,Campaign,
COTC,2012,Campaign,
COTC,2013,Campaign,
COTD,2009,Campaign,
COTD,2010,Campaign,
COTD,2012,Campaign,
COTD,2014,Campaign,
COTF,2009,Campaign,
COTF,2010,Campaign,
COTF,2012,Campaign,
COTG,2009,Campaign,To retrieve
COTG,2010,Campaign,To retrieve
COTG,2012,Campaign,To retrieve
COTG,2013,Campaign,To retrieve
COTH,2009,Campaign,
COTH,2010,Campaign,
CRIS,1999,Campaign,
CRIS,2000,Campaign,
CRIS,2004,Campaign,
CRIS,2008,Campaign,
CRIS,2009,Campaign,
CRIS,2011,Campaign,
CRIS,2013,Campaign,
CRIS,2019,Campaign,
CRLN,2008,Campaign,
CRLN,2009,Campaign,
CRLN,2011,Campaign,
CRLN,2013,Campaign,
CRLN,2019,Campaign,
CTE1,2009,Campaign,
CTE1,2010,Campaign,
CTE1,2012,Campaign,
CTE1,2013,Campaign,
CUYP,2009,Campaign,
CUYP,2011,Campaign,
CUYP,2012,Campaign,
CUYP,2013,Campaign,
CUYP,2019,Campaign,
DINA,2008,Campaign,
DINA,2011,Campaign,
DINA,2012,Campaign,
DINA,2013,Campaign,
DIPA,2008,Campaign,
DIPA,2009,Campaign,
DIPA,2011,Campaign,
DIPA,2013,Campaign,
DIPA,2019,Campaign,
ELNA,2013,Continuous,
GUNG,2013,Continuous,
GUNY,2008,Campaign,
GUNY,2010,Campaign,
GUNY,2011,Campaign,
GUNY,2012,Campaign,
GUNY,2013,Campaign,
IBAZ,2012,Continuous,
IBAZ,2013,Continuous,
IFG1,1998,Campaign,
IFG1,2009,Campaign,
IFG1,2010,Campaign,
IFG1,2011,Campaign,
IFG1,2013,Campaign,
ILN3,2009,Campaign,
ILN3,2011,Campaign,
ILN3,2012,Campaign,
ILN3,2013,Campaign,
ILO2,1997,Campaign,
ILO2,1999,Campaign,
ILO2,2002,Campaign,
ILO2,2009,Campaign,
ILO2,2010,Campaign,
ILO2,2011,Campaign,
INFA,2013,Continuous,To retrieve
ISB4,2008,Campaign,
ISB4,2009,Campaign,
ISB4,2011,Campaign,
ISB4,2013,Campaign,
ITBA,2012,Continuous,
ITGN,2008,Campaign,
ITGN,2009,Campaign,
ITGN,2010,Campaign,
ITGN,2011,Campaign,
ITGN,2012,Campaign,
ITGN,2013,Campaign,
ITGN,2019,Campaign,
JONA,2013,Campaign,
JONA,2017,Campaign,
JOSE,2010,Continuous,To retrieve
JOSE,2012,Continuous,To retrieve
JOSE,2013,Continuous,To retrieve
KA08,2009,Campaign,
KA08,2011,Campaign,
KA08,2012,Campaign,
KA08,2013,Campaign,
KBNK,2015,Campaign,
KIBU,2013,Campaign,
LABO,2013,Continuous,
LAG1,1998,Campaign,
LAG1,2012,Campaign,
LAG1,2013,Campaign,
