segment,table,run,parameter,value
(methods reference),0,Notes,"Elastic half-space, grid search and bootstrap","We use the interseismic crustal deformation model (Savage, 1983; Matsu’ura et al., 1986) such that the interseismic velocity field can be represented as the sum of rigid block motion at long-term rates across the fault and back-slip rate (slip deficits) on the locked fault (negative dislocation). Because of an irregular spatial distribution of GPS sites in the Luzon area, we only choose three transects across the Philippine Fault wherein GPS data is sufficient to constrain fault slip rates. We project GPS data along these 2-D transects and estimate back-slip rate, fault width, dip, long-term slip rates using an elastic half-space model (Okada, 1985). The positions of our model faults approximately follow the surface trace of the Philippine Fault. An initial value of fault dip is assumed to be 90. We search for the optimal long-term slip rates and fault width using a grid search approach. Data are inverted using a weighted least-squares approach The fit to the data is quantified from the mean of the normalized square residuals, defined as the chi-square divide by the number of data points. A value of 1 means that the model fits the data within uncertainties on average. In order to estimate uncertainties of fault parameters, we apply a bootstrap method by re-sampling GPS data to generate 1000 synthetic data sets and compute fault parameters."
(methods reference),0,Notes,GPS measurements,"Computed displacement vectors from GPS measurements within the Philippine Archipelago when the station in Puerto Princesa, Palawan (PUER) is held fixed Computed relative displacement vectors from GPS measurements in between selected stations within the Philippine network Philippine GEODYSSEA network; four comparisons can be performed."
(methods reference),0,Notes,Geodetic trilateration/GPS measurements,Displacement vectors deduced from two least squares adjustments indicate a mean slip rate and its azimuth. Area of interest: central part of the Philippine Fault on Leyte Island
(methods reference),0,References,"Elastic half-space, grid search and bootstrap","Yu, S. et al. (2011). Present-day crustal deformation along the Philippine Fault in Luzon, Philippines. Journal of Asian Earth Sciences. doi:10.1016/j.jseaes.2010.12.007. Matsu’ura, M., Jackson, D.D., Cheng, A. (1986). Dislocation model for aseismic crustal deformation at Hollister, California. Journal of Geophysical Research, 91, 2661–2674"
(methods reference),0,References,GPS measurements,"Aurelio, M.A. (2000). Shear partitioning in the Philippines: Constraints from Philippine Fault and global positioning system data. The Island Arc, 9, 584-597."
(methods reference),0,References,Geodetic trilateration/GPS measurements,"Duquesnoy, Th. et al. (1994). Detection of creep along the Philippine Fault: First results of geodetic measurements on Leyte island, central Philippines. Geophysical Research Letters, 21 (11), 975–978. https://doi.org/10.1029/94GL00640."
Ambuklao Fault,2,1st modeling results (2024),Angle of projection,"77° from N,CW"
Ambuklao Fault,2,1st modeling results (2024),Backslip Rate (mm/yr),28.88 (12.02-31.97)
Ambuklao Fault,2,1st modeling results (2024),Confidence interval,95%
Ambuklao Fault,2,1st modeling results (2024),Data period,2009-2023
Ambuklao Fault,2,1st modeling results (2024),Dip Angle (degrees),83 (75-90)
Ambuklao Fault,2,1st modeling results (2024),Locking depth (km),40 (31-50)
Ambuklao Fault,2,1st modeling results (2024),Method,"Elastic half-space model, grid search, and bootstrap"
Ambuklao Fault,2,1st modeling results (2024),Number of samples,1000
Ambuklao Fault,2,1st modeling results (2024),Number of sites,8 sites
Ambuklao Fault,2,1st modeling results (2024),Reduced chi-squared,1.00
Ambuklao Fault,2,1st modeling results (2024),Reference station,BLNA
Ambuklao Fault,2,1st modeling results (2024),Remarks,“Slip rate” = “block motion” and “long term slip rate”
Ambuklao Fault,2,1st modeling results (2024),Residuals,1.08
Ambuklao Fault,2,1st modeling results (2024),Slip Rate (mm/yr),29 (25-33)
Ambuklao Fault,2,1st modeling results (2024),Top depth (km),1 (0-5)
Ambuklao Fault,2,1st modeling results (2024),Width (km)*,(locking depth)
PF: Central Luzon,4,1st modeling results (2021),Angle of projection,"48° from N,CW"
PF: Central Luzon,4,1st modeling results (2021),Backslip Rate (mm/yr),29 (27.69-31.33)
PF: Central Luzon,4,1st modeling results (2021),Data period,2000-2020
PF: Central Luzon,4,1st modeling results (2021),Dip Angle (degrees),80 (77-84)
PF: Central Luzon,4,1st modeling results (2021),Locking depth (km),17 (15-19)
PF: Central Luzon,4,1st modeling results (2021),Method,"Elastic half-space model, grid search, and bootstrap"
PF: Central Luzon,4,1st modeling results (2021),Number of samples,1000
PF: Central Luzon,4,1st modeling results (2021),Number of sites,14 sites
PF: Central Luzon,4,1st modeling results (2021),Other statistics used,68% CI using quartile
PF: Central Luzon,4,1st modeling results (2021),Recurrence interval (years),197.89-223.91
PF: Central Luzon,4,1st modeling results (2021),Reference station,IBAZ
PF: Central Luzon,4,1st modeling results (2021),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Central Luzon,4,1st modeling results (2021),Residuals,0.40
PF: Central Luzon,4,1st modeling results (2021),Slip Rate (mm/yr),32 (32-33)
PF: Central Luzon,4,1st modeling results (2021),Top depth (km),0 (0-1)
PF: Central Luzon,4,1st modeling results (2021),Width (km)*,(locking depth)
PF: Central Luzon,4,2nd modeling results (2023),Angle of projection,"48° from N,CW"
PF: Central Luzon,4,2nd modeling results (2023),Backslip Rate (mm/yr),28.16 (23.32-30.89)
PF: Central Luzon,4,2nd modeling results (2023),Data period,1999-2022
PF: Central Luzon,4,2nd modeling results (2023),Dip Angle (degrees),86 (80-90)
PF: Central Luzon,4,2nd modeling results (2023),Locking depth (km),14 (10-19)
PF: Central Luzon,4,2nd modeling results (2023),Method,"Elastic half-space model, grid search, and bootstrap"
PF: Central Luzon,4,2nd modeling results (2023),Number of samples,1000
PF: Central Luzon,4,2nd modeling results (2023),Number of sites,13 sites
PF: Central Luzon,4,2nd modeling results (2023),Other statistics used,95% CI using quartile
PF: Central Luzon,4,2nd modeling results (2023),Recurrence interval (years),200.71-265.87
PF: Central Luzon,4,2nd modeling results (2023),Reduced chi-squared,1.14
PF: Central Luzon,4,2nd modeling results (2023),Reference station,IBAZ
